Date,Strategy_Value,Benchmark_Value
2022-05-24,1.1679,1.0423061447657527
2022-05-25,1.1927,1.0601891640471486
2022-05-26,1.2018,1.072398967140647
2022-05-27,1.2016,1.0702863547045387
2022-05-30,1.216,1.0780717479515511
2022-05-31,1.2299,1.0932021143358033
2022-06-01,1.2394,1.0927316713542257
2022-06-02,1.2595,1.102671128555216
2022-06-06,1.2813,1.1224461692629648
2022-06-07,1.2648,1.12228709339417
2022-06-08,1.2614,1.127957951290022
2022-06-09,1.2322,1.1121498843348456
2022-06-10,1.2528,1.1319989028499777
2022-06-13,1.2621,1.1308226956221392
2022-06-14,1.2572,1.1384319607348004
2022-06-15,1.2623,1.1358008505815187
2022-06-16,1.2725,1.1364830681887446
2022-06-17,1.2729,1.1458232108182476
2022-06-20,1.2824,1.1483783295455534
2022-06-21,1.2881,1.1386924975836576
2022-06-22,1.2657,1.1210177517712587
2022-06-23,1.2963,1.1429507022630896
2022-06-24,1.3057,1.1552515717109444
2022-06-27,1.3129,1.1624102579173308
2022-06-28,1.339,1.1793912849136068
2022-06-29,1.3114,1.1563426808773718
2022-06-30,1.3129,1.1708154103137907
2022-07-01,1.3079,1.167996289862392
2022-07-04,1.3063,1.1833421678581484
2022-07-05,1.2933,1.1812375917557012
2022-07-06,1.2833,1.1643695632298006
2022-07-07,1.2945,1.170617404485544
2022-07-08,1.3004,1.1618106349538064
2022-07-11,1.2873,1.146336774262834
2022-07-12,1.2643,1.1322485371333038
2022-07-13,1.2859,1.1371492494100643
2022-07-14,1.29,1.1433057703415386
2022-07-15,1.2657,1.1241433776256862
2022-07-18,1.3048,1.145106017925922
2022-07-19,1.3168,1.1493425263185393
2022-07-20,1.3259,1.1629479666443174
2022-07-21,1.326,1.1514992932380148
2022-07-22,1.3278,1.1409657278487444
2022-07-25,1.3157,1.1303902392831953
2022-07-26,1.3217,1.1443078811943261
2022-07-27,1.3368,1.148711846462852
2022-07-28,1.3501,1.1516021691933045
2022-07-29,1.3523,1.1417969169503874
2022-08-01,1.3644,1.1514308483465834
2022-08-02,1.3219,1.1192809785243043
2022-08-03,1.3176,1.1109940309814268
2022-08-04,1.3401,1.117238062688482
2022-08-05,1.3564,1.1375151474912126
2022-08-08,1.3696,1.1470505022799242
2022-08-09,1.3743,1.1503894810015993
2022-08-10,1.3859,1.146865684746422
